,cloudiness,country,date,humidity,lat,lon,maxtemp,wind_speed
0,72,GF,1561605263,96,5.48,-53.21,74.39,4.59
1,0,GL,1561605263,69,77.48,-69.36,34.79,0.65
2,34,MV,1561605264,75,-0.6,73.08,83.39,10.36
3,52,NA,1561605264,56,-20.59,17.46,45.95,5.01
4,75,MM,1561605264,83,16.44,95.73,80.6,8.05
5,96,PG,1561605226,71,-2.57,150.8,85.01,10.94
6,5,US,1561605264,67,43.52,-114.32,60.8,4.05
7,90,CF,1561605265,82,10.3,22.78,72.77,3.74
8,0,VE,1561605265,94,9.91,-67.35,67.37,1.66
9,0,AU,1561605265,62,-42.78,147.06,60.01,12.75
10,75,AU,1561605215,72,-31.43,152.91,66.99,6.93
11,23,ZA,1561605265,46,-33.02,27.91,61.25,15.17
12,1,US,1561605195,93,42.65,-73.75,70,3.85
13,0,ZA,1561605266,100,-33.93,18.42,57.99,3.36
14,9,NZ,1561605266,84,-46.19,168.86,53.01,3
15,0,ZA,1561605266,87,-34.53,20.04,48.99,3.36
16,1,BR,1561605267,61,-8.26,-49.26,70.97,1.5
17,99,RU,1561605267,81,69.38,178.42,35.33,11.03
18,0,TM,1561605267,39,37.5,61.97,80.6,8.79
19,75,CA,1561605267,63,55.28,-114.77,64.4,4.7
20,0,PF,1561605268,81,-23.12,-134.97,74.21,10.65
21,0,EC,1561605268,95,-0.74,-90.35,72,12.64
22,21,AU,1561605268,53,-23.58,149.07,73.49,19.19
23,75,CA,1561605268,81,62.45,-114.38,53.6,14.99
24,0,ZA,1561605269,76,-34,24.73,53.51,8.86
25,75,US,1561605269,78,22.08,-159.32,80.6,11.41
26,100,PG,1561605269,68,-6.22,155.63,84.47,7.63
27,68,AR,1561605269,94,-46.43,-67.52,33.53,14.14
28,0,TR,1561605270,96,40.8,32.2,59.27,1.12
29,67,UY,1561605270,75,-33.53,-58.22,46.67,13.35
30,1,BR,1561605270,84,-21.64,-41.05,69.53,2.51
31,0,ZA,1561605270,90,-33.59,26.89,55,13.6
32,40,US,1561605170,73,30.3,-99.24,78.01,6.93
33,100,BY,1561605271,97,52.8,28,68.27,11.25
34,93,NO,1561605271,81,70.86,29.09,48.2,17.22
35,0,RU,1561605271,82,59.7,30.79,60.01,2.24
36,75,JP,1561605271,66,35.73,140.83,88,14.99
37,75,CN,1561605272,73,25.04,102.71,78.01,17.9
38,0,ID,1561605272,51,-8.63,122.22,79.25,5.7
39,100,MV,1561605215,74,5.67,73,83.03,8.84
40,90,RU,1561605272,87,64.42,-173.23,51.8,11.18
41,20,CA,1561605272,81,47.66,-52.73,46.99,3.36
42,0,FR,1561605273,69,45.6,-0.6,80.6,8.05
43,82,ID,1561605273,82,-7.37,108.54,76.01,3.87
44,0,FR,1561605273,93,46.42,3.91,62.6,3.36
45,9,IN,1561605273,80,19.57,74.2,76.55,5.26
46,0,ES,1561605334,61,38.18,-1.13,79,6.93
47,33,PL,1561605334,81,53.89,19.53,64,11.01
48,20,CA,1561605334,20,63.59,-135.9,73.4,6.93
49,0,BW,1561605334,47,-19.99,23.42,59,5.82
50,75,IN,1561605335,94,15.34,74.49,73.4,6.93
51,1,US,1561605093,88,33.19,-82.53,77,0.87
52,100,RU,1561605260,56,64.9,45.76,55.31,6.13
53,0,NZ,1561605136,68,-45.87,170.5,53.51,7.07
54,0,TM,1561605335,26,38.78,63.88,84.2,2.24
55,4,UY,1561605335,81,-33.69,-53.46,44.69,9.71
56,90,AR,1561605336,92,-54.81,-68.31,28.4,13.87
57,100,NO,1561605336,81,71.03,27.85,48.2,17.22
58,0,BR,1561605336,61,-30.17,-50.22,45.77,0.72
59,0,SA,1561605336,15,17.54,44.22,87.8,5.82
60,75,NU,1561605253,73,-19.06,-169.92,77,16.11
61,0,AU,1561605313,49,-33.21,138.6,64.49,16.24
62,0,AU,1561605337,62,-42.88,147.33,60.01,12.75
63,22,CK,1561605337,73,-21.21,-159.78,75.2,4.7
64,31,RU,1561605337,48,61.92,159.24,62.33,19.46
65,30,RU,1561605338,97,58.48,43.41,47.03,3.74
66,2,RU,1561605338,37,50.72,136.64,65.03,6.78
67,75,JP,1561605338,58,36.66,137.31,84.2,8.05
68,10,PF,1561605338,71,-9.8,-139.03,81.05,17.45
69,58,MN,1561605338,68,48.81,103.53,53.87,9.8
70,32,RU,1561605339,81,69.7,170.27,36.05,26.73
71,99,CN,1561605339,42,40.29,97.04,69.89,19.77
72,91,GH,1561605339,96,5.35,-0.62,73.13,3.51
73,20,IT,1561605339,69,38.28,16.3,80.01,5.82
74,100,CL,1561605340,79,-22.09,-70.2,58.55,3.65
75,100,NG,1561605163,87,10.41,10.6,74.03,10.27
76,90,VU,1561605340,88,-19.55,169.27,78.8,6.93
77,100,GL,1561605340,87,65.61,-37.64,42.8,2.24
78,0,OM,1561605341,79,23.6,58.55,87.8,2.24
79,17,AU,1561605341,30,-14.25,129.55,81.05,10.78
80,99,TL,1561605341,44,-8.93,125.41,82.13,1.88
81,97,GH,1561605341,94,4.89,-1.75,73.49,3.6
82,1,CA,1561605341,88,45.36,-73.48,71.6,6.93
83,20,GY,1561605342,88,6.8,-58.16,77,4.7
84,90,CA,1561605342,80,69.44,-133.03,41,13.87
85,82,AU,1561605342,13,-15.77,128.74,78.8,14.99
86,0,PT,1561605343,76,41.42,-6.55,62.51,0.78
87,66,US,1561605343,83,31.44,-87.99,82,2.91
88,75,US,1561605343,36,58.3,-134.42,80.6,10.29
89,2,PE,1561605344,87,-11.1,-77.61,62.51,12.93
90,1,CA,1561605344,93,54.32,-130.32,57.2,4.7
91,75,US,1561605404,89,28.61,-96.63,84.2,8.05
92,75,CA,1561605404,100,70.47,-68.59,33.8,11.41
93,90,OM,1561605405,100,17.01,54.1,80.6,5.82
